i, t, s
459, 0.010408, -7877.845988
460, 0.010431, -8784.483071
461, 0.010454, -9660.361417
462, 0.010476, -10501.884029
463, 0.010499, -11305.574766
464, 0.010522, -12068.092672
465, 0.010544, -12786.245821
466, 0.010567, -13457.004631
467, 0.010590, -14077.514583
468, 0.010612, -14645.108299
469, 0.010635, -15157.316927
470, 0.010658, -15611.880776
471, 0.010680, -16006.759166
472, 0.010703, -16340.139452
473, 0.010726, -16610.445167
474, 0.010748, -16816.343265
475, 0.010771, -16956.750428
476, 0.010794, -17030.838393
477, 0.010816, -17038.038298
478, 0.010839, -16978.044006
479, 0.010862, -16850.814404
480, 0.010884, -16656.574643
481, 0.010907, -16395.816340
482, 0.010930, -16069.296711
483, 0.010952, -15678.036644
484, 0.010975, -15223.317717
485, 0.010998, -14706.678168
486, 0.011020, -14129.907824
487, 0.011043, -13495.042013
488, 0.011066, -12804.354473
489, 0.011088, -12060.349281
490, 0.011111, -11265.751841
491, 0.011134, -10423.498949
492, 0.011156, -9536.727984
493, 0.011179, -8608.765249
494, 0.011202, -7643.113529
495, 0.011224, -6643.438881
496, 0.011247, -5613.556737
497, 0.011270, -4557.417352
498, 0.011293, -3479.090656
499, 0.011315, -2382.750582
500, 0.011338, -1272.658904
501, 0.011361, -153.148674
502, 0.011383, 971.392690
503, 0.011406, 2096.540604
504, 0.011429, 3217.850726
505, 0.011451, 4330.876513
506, 0.011474, 5431.186854
507, 0.011497, 6514.383709
508, 0.011519, 7576.119683
509, 0.011542, 8612.115471
510, 0.011565, 9618.177096
511, 0.011587, 10590.212870
512, 0.011610, 11524.250022
513, 0.011633, 12416.450907
514, 0.011655, 13263.128751
515, 0.011678, 14060.762843
516, 0.011701, 14806.013136
517, 0.011723, 15495.734178
518, 0.011746, 16126.988330
519, 0.011769, 16697.058198
520, 0.011791, 17203.458244
521, 0.011814, 17643.945520
522, 0.011837, 18016.529475
523, 0.011859, 18319.480794
524, 0.011882, 18551.339241
525, 0.011905, 18710.920455
526, 0.011927, 18797.321675
527, 0.011950, 18809.926375
528, 0.011973, 18748.407769
529, 0.011995, 18612.731192
530, 0.012018, 18403.155313
531, 0.012041, 18120.232202
532, 0.012063, 17764.806228
533, 0.012086, 17338.011783
534, 0.012109, 16841.269863
535, 0.012132, 16276.283483
536, 0.012154, 15645.031966
537, 0.012177, 14949.764109
538, 0.012200, 14192.990253
539, 0.012222, 13377.473295
540, 0.012245, 12506.218649
541, 0.012268, 11582.463228
542, 0.012290, 10609.663447
543, 0.012313, 9591.482328
544, 0.012336, 8531.775728
545, 0.012358, 7434.577757
546, 0.012381, 6304.085436
547, 0.012404, 5144.642651
548, 0.012426, 3960.723472
549, 0.012449, 2756.914887
550, 0.012472, 1537.899038
551, 0.012494, 308.435006
552, 0.012517, -926.659766
553, 0.012540, -2162.528353
554, 0.012562, -3394.293451
555, 0.012585, -4617.076620
556, 0.012608, -5826.017612
557, 0.012630, -7016.293685
558, 0.012653, -8183.138838
559, 0.012676, -9321.862894
560, 0.012698, -10427.870339
561, 0.012721, -11496.678859
562, 0.012744, -12523.937490
563, 0.012766, -13505.444308
564, 0.012789, -14437.163594
565, 0.012812, -15315.242392
566, 0.012834, -16136.026409
567, 0.012857, -16896.075170
568, 0.012880, -17592.176390
569, 0.012902, -18221.359480
570, 0.012925, -18780.908147
571, 0.012948, -19268.372022
572, 0.012971, -19681.577284
573, 0.012993, -20018.636215
574, 0.013016, -20277.955652
575, 0.013039, -20458.244307
576, 0.013061, -20558.518911
577, 0.013084, -20578.109153
578, 0.013107, -20516.661406
579, 0.013129, -20374.141197
580, 0.013152, -20150.834429
581, 0.013175, -19847.347335
582, 0.013197, -19464.605157
583, 0.013220, -19003.849565
584, 0.013243, -18466.634805
585, 0.013265, -17854.822596
586, 0.013288, -17170.575796
587, 0.013311, -16416.350849
588, 0.013333, -15594.889041
589, 0.013356, -14709.206606
590, 0.013379, -13762.583699
591, 0.013401, -12758.552298
592, 0.013424, -11700.883054
593, 0.013447, -10593.571164
594, 0.013469, -9440.821302
595, 0.013492, -8247.031670
596, 0.013515, -7016.777230
597, 0.013537, -5754.792183
598, 0.013560, -4465.951756
599, 0.013583, -3155.253372
600, 0.013605, -1827.797277
601, 0.013628, -488.766689
602, 0.013651, 856.592435
603, 0.013673, 2202.991957
604, 0.013696, 3545.122345
605, 0.013719, 4877.673611
606, 0.013741, 6195.356320
607, 0.013764, 7492.922587
608, 0.013787, 8765.186973
609, 0.013810, 10007.047204
610, 0.013832, 11213.504628
611, 0.013855, 12379.684321
612, 0.013878, 13500.854774
613, 0.013900, 14572.447073
614, 0.013923, 15590.073493
615, 0.013946, 16549.545436
616, 0.013968, 17446.890637
617, 0.013991, 18278.369570
618, 0.014014, 19040.490976
619, 0.014036, 19730.026470
620, 0.014059, 20344.024138
621, 0.014082, 20879.821096
622, 0.014104, 21335.054930
623, 0.014127, 21707.673998
624, 0.014150, 21995.946517
625, 0.014172, 22198.468421
626, 0.014195, 22314.169948
627, 0.014218, 22342.320916
628, 0.014240, 22282.534675
629, 0.014263, 22134.770713
630, 0.014286, 21899.335895
631, 0.014308, 21576.884332
632, 0.014331, 21168.415874
633, 0.014354, 20675.273236
634, 0.014376, 20099.137744
635, 0.014399, 19442.023741
636, 0.014422, 18706.271647
637, 0.014444, 17894.539714
638, 0.014467, 17009.794494
639, 0.014490, 16055.300055
640, 0.014512, 15034.605993
641, 0.014535, 13951.534266
642, 0.014558, 12810.164925
643, 0.014580, 11614.820762
644, 0.014603, 10370.050967
645, 0.014626, 9080.613827
646, 0.014649, 7751.458551
647, 0.014671, 6387.706282
648, 0.014694, 4994.630374
649, 0.014717, 3577.636001
650, 0.014739, 2142.239190
651, 0.014762, 694.045348
652, 0.014785, -761.272632
653, 0.014807, -2217.996590
654, 0.014830, -3670.385569
655, 0.014853, -5112.698443
656, 0.014875, -6539.216613
657, 0.014898, -7944.266674
658, 0.014921, -9322.242984
659, 0.014943, -10667.630023
660, 0.014966, -11975.024458
661, 0.014989, -13239.156844
662, 0.015011, -14454.912842
663, 0.015034, -15617.353899
664, 0.015057, -16721.737289
665, 0.015079, -17763.535434
666, 0.015102, -18738.454437
667, 0.015125, -19642.451744
668, 0.015147, -20471.752855
